uid,up主昵称,B站地址,番茄指数,粉丝总数,作品总数,充电总人数,一级分类,二级分类
326499679,哔哩哔哩漫画,https://space.bilibili.com/326499679,3387.3,42260507,569,483,动画,综合
321173469,哔哩哔哩大会员,https://space.bilibili.com/321173469,3389,25789250,21,463,生活,日常
517327498,罗翔说刑法,https://space.bilibili.com/517327498,3682.4,25363637,254,,知识,社科·法律·心理
546195,老番茄,https://space.bilibili.com/546195,3675.6,17983185,434,48454,游戏,单机游戏
401742377,原神,https://space.bilibili.com/401742377,3585,14845665,269,,游戏,手机游戏
456664753,央视新闻,https://space.bilibili.com/456664753,3613.4,13203384,5223,5709,资讯,社会
9617619,哔哩哔哩直播,https://space.bilibili.com/9617619,3568.9,12736068,746,882,游戏,单机游戏
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3580.9,12569361,4485,,游戏,电子竞技
492840942,云视听小电视-TV,https://space.bilibili.com/492840942,3560.4,12375899,63,,影视,预告·资讯
163637592,老师好我叫何同学,https://space.bilibili.com/163637592,3668.7,10625009,47,18361,科技,数码
18202105,绵羊料理,https://space.bilibili.com/18202105,3676.8,10208917,342,11688,美食,美食制作
20165629,共青团中央,https://space.bilibili.com/20165629,3668.1,10073617,4015,37424,资讯,热点
473837611,新华社,https://space.bilibili.com/473837611,3581.1,10048866,3462,4939,资讯,热点
62540916,周六野Zoey,https://space.bilibili.com/62540916,3628.5,9602228,238,2015,时尚,健身
927587,木鱼水心,https://space.bilibili.com/927587,3696.8,9577715,1228,49389,影视,影视杂谈
9824766,敬汉卿,https://space.bilibili.com/9824766,3662.4,9433762,1191,20909,生活,搞笑
604003146,帕梅拉PamelaReif,https://space.bilibili.com/604003146,3579.4,9307748,142,1024,时尚,健身
5970160,小潮院长,https://space.bilibili.com/5970160,3622.3,8924001,335,17338,生活,搞笑
174501086,哔哩哔哩会员购,https://space.bilibili.com/174501086,3556,8634708,205,1111,动画,手办·模玩
562197,中国BOY超级大猩猩,https://space.bilibili.com/562197,3607.5,8321604,1541,34630,游戏,单机游戏
14110780,凉风Kaze,https://space.bilibili.com/14110780,3668.4,8108537,545,44104,生活,搞笑
14804670,无穷小亮的科普日常,https://space.bilibili.com/14804670,3574.4,8088727,259,3392,知识,科学科普
13354765,徐大虾咯,https://space.bilibili.com/13354765,3579.9,7705067,281,11633,游戏,单机游戏
19577966,李子柒,https://space.bilibili.com/19577966,3601.6,7666569,143,,美食,田园美食
337521240,记录生活的蛋黄派,https://space.bilibili.com/337521240,3640.7,7659737,601,6110,美食,美食制作
10330740,观察者网,https://space.bilibili.com/10330740,3675.4,7625521,14013,14067,资讯,环球
1577804,某幻君,https://space.bilibili.com/1577804,3603.4,7607676,304,22492,游戏,单机游戏
7584632,哔哩哔哩纪录片,https://space.bilibili.com/7584632,3480.4,7526628,13313,,纪录片,社会·美食·旅行
1532165,papi酱,https://space.bilibili.com/1532165,3575.8,7442948,267,8607,生活,搞笑
99157282,盗月社食遇记,https://space.bilibili.com/99157282,3672.6,7183577,505,22504,美食,美食侦探
375375,伊丽莎白鼠,https://space.bilibili.com/375375,3663.4,7135720,90,9838,鬼畜,鬼畜调教
8960728,日食记,https://space.bilibili.com/8960728,3599.7,7110749,501,3182,美食,美食制作
37663924,硬核的半佛仙人,https://space.bilibili.com/37663924,3647,7031204,349,9166,知识,财经商业
7788379,兔叭咯,https://space.bilibili.com/7788379,3618.1,7030691,287,3751,知识,科学科普
176037767,我是郭杰瑞,https://space.bilibili.com/176037767,3590.8,7017262,476,15227,生活,日常
280793434,手工耿,https://space.bilibili.com/280793434,3589.9,6938921,191,,生活,手工
1935882,指法芬芳张大仙,https://space.bilibili.com/1935882,3587.8,6857469,4844,22169,游戏,电子竞技
15773384,哔哩哔哩电影,https://space.bilibili.com/15773384,3459.5,6820206,4098,,电影,欧美电影
122879,敖厂长,https://space.bilibili.com/122879,3603.8,6799688,432,107238,游戏,单机游戏
37090048,哔哩哔哩创作中心,https://space.bilibili.com/37090048,3565.3,6730558,121,674,生活,日常
14229967,一数,https://space.bilibili.com/14229967,3568.5,6634875,485,11283,知识,校园学习
290526283,美食作家王刚R,https://space.bilibili.com/290526283,3619.5,6548474,621,8105,美食,美食制作
250858633,华农兄弟,https://space.bilibili.com/250858633,3637,6395816,516,24095,美食,田园美食
489412051,哔哩哔哩晚会,https://space.bilibili.com/489412051,3668.6,6228425,385,,娱乐,综艺
168598,逍遥散人,https://space.bilibili.com/168598,3594.7,6208370,891,37165,游戏,单机游戏
777536,LexBurner,https://space.bilibili.com/777536,3620.4,6174850,384,66130,游戏,手机游戏
883968,暴走漫画,https://space.bilibili.com/883968,3537,6170722,317,8619,娱乐,综艺
5870268,三代鹿人,https://space.bilibili.com/5870268,3628.5,6131925,200,4369,影视,影视杂谈
2206456,花少北丶,https://space.bilibili.com/2206456,3592.3,6116507,214,29278,游戏,单机游戏
10119428,小片片说大片,https://space.bilibili.com/10119428,3650.7,6034677,1258,7635,影视,影视杂谈
928123,哔哩哔哩番剧,https://space.bilibili.com/928123,3477.4,5874083,20566,4492,番剧,完结动画
229733301,音乐私藏馆,https://space.bilibili.com/229733301,3634.4,5807538,604,6475,音乐,音乐现场
