uid,up主昵称,B站地址,番茄指数,粉丝总数,掉粉数量,掉粉率,一级分类,二级分类
32046347,黑洞king,https://space.bilibili.com/32046347,3468.8,632090,-22138.0,-3.50%,游戏,电子竞技
38351330,阿幕降临,https://space.bilibili.com/38351330,3502.7,1726220,-7635.0,-0.44%,动画,综合
246251134,厄风琉斯,https://space.bilibili.com/246251134,3433.4,283990,-7357.0,-2.59%,游戏,电子竞技
578227337,华为,https://space.bilibili.com/578227337,3489.4,2387659,-4829.0,-0.20%,科技,数码
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3525.6,12629194,-4274.0,-0.03%,游戏,电子竞技
611214594,上汽大众,https://space.bilibili.com/611214594,3487.6,2187634,-4190.0,-0.19%,汽车,汽车生活
275338136,肯德基,https://space.bilibili.com/275338136,3490.2,2240315,-3490.0,-0.16%,生活,日常
383670040,小郑菜菜Csgo,https://space.bilibili.com/383670040,3423.8,247481,-2428.0,-0.98%,游戏,电子竞技
8739477,老实憨厚的笑笑,https://space.bilibili.com/8739477,3490.9,2581660,-2223.0,-0.09%,游戏,电子竞技
66777747,不知名男枪丶,https://space.bilibili.com/66777747,3426,250095,-2202.0,-0.88%,游戏,电子竞技
31220044,小贝饿了,https://space.bilibili.com/31220044,3503.4,2771064,-1845.0,-0.07%,美食,美食侦探
433865481,爱玛电动车官方账号,https://space.bilibili.com/433865481,3285.1,68543,-1654.0,-2.41%,汽车,摩托车
18149131,Overidea_China,https://space.bilibili.com/18149131,3509.7,877909,-1325.0,-0.15%,动画,综合
50333369,哔哩哔哩守望先锋赛事,https://space.bilibili.com/50333369,3478.6,887257,-1144.0,-0.13%,游戏,电子竞技
2920960,大祥哥来了,https://space.bilibili.com/2920960,3567.8,4820207,-1141.0,-0.02%,美食,美食测评
643873396,平安小财娘,https://space.bilibili.com/643873396,3484.5,1204821,-1107.0,-0.09%,生活,搞笑
673520112,TCL,https://space.bilibili.com/673520112,3453.3,458085,-1059.0,-0.23%,科技,数码
330415548,谭乔,https://space.bilibili.com/330415548,3508.4,4277299,-1001.0,-0.02%,资讯,社会
17561219,直播小喇叭,https://space.bilibili.com/17561219,3489.7,2941188,-994.0,-0.03%,游戏,电子竞技
466272,bili_466272,https://space.bilibili.com/466272,3567.4,4386700,-990.0,-0.02%,生活,日常
10330740,观察者网,https://space.bilibili.com/10330740,3620.2,7637163,-970.0,-0.01%,资讯,环球
1628139107,真实电竞,https://space.bilibili.com/1628139107,3472.3,761420,-954.0,-0.13%,游戏,电子竞技
176037767,我是郭杰瑞,https://space.bilibili.com/176037767,3535.7,7030712,-921.0,-0.01%,生活,日常
279991456,靠谱电竞,https://space.bilibili.com/279991456,3521.2,2062386,-905.0,-0.04%,游戏,电子竞技
285499073,东尼ookii,https://space.bilibili.com/285499073,3535.9,4572305,-892.0,-0.02%,生活,搞笑
43222001,卡特亚,https://space.bilibili.com/43222001,3507.5,2543255,-888.0,-0.03%,游戏,手机游戏
485092296,张三的传奇一生,https://space.bilibili.com/485092296,3506,1993725,-884.0,-0.04%,知识,社科·法律·心理
489412051,哔哩哔哩晚会,https://space.bilibili.com/489412051,3613.3,6241905,-866.0,-0.01%,娱乐,综艺
37813467,时空猎人3,https://space.bilibili.com/37813467,3474.3,999843,-847.0,-0.08%,游戏,手机游戏
700666132,H-Y小小小羊,https://space.bilibili.com/700666132,2732.9,12861,-807.0,-6.27%,生活,搞笑
31536760,EDG电子竞技俱乐部,https://space.bilibili.com/31536760,3494.4,2111044,-797.0,-0.04%,游戏,电子竞技
517027781,猫之城手游,https://space.bilibili.com/517027781,3478.5,1058177,-793.0,-0.07%,游戏,手机游戏
11100920,飞社长,https://space.bilibili.com/11100920,3505.5,2164070,-759.0,-0.04%,生活,搞笑
75547577,心灵侦探明柏辰,https://space.bilibili.com/75547577,3497.2,1357618,-750.0,-0.06%,生活,搞笑
1017081142,Rookie,https://space.bilibili.com/1017081142,3484.1,1449728,-746.0,-0.05%,游戏,电子竞技
777536,LexBurner,https://space.bilibili.com/777536,3565.5,6182108,-743.0,-0.01%,游戏,手机游戏
35365327,bilibiliGoods,https://space.bilibili.com/35365327,3487.5,1363205,-742.0,-0.05%,生活,日常
257851644,RNG电子竞技俱乐部,https://space.bilibili.com/257851644,3489.3,1373140,-736.0,-0.05%,游戏,电子竞技
277827884,楚钧艾克,https://space.bilibili.com/277827884,3479,1070229,-726.0,-0.07%,游戏,电子竞技
508141704,大熊苏尔,https://space.bilibili.com/508141704,3473.6,746343,-725.0,-0.10%,动物圈,野生动物
50329220,哔哩哔哩LOL赛事直播,https://space.bilibili.com/50329220,3493.3,4164830,-714.0,-0.02%,游戏,电子竞技
382666849,笔记本维修厮,https://space.bilibili.com/382666849,3483.5,880789,-708.0,-0.08%,科技,
1429723107,索尼中国,https://space.bilibili.com/1429723107,3482.6,1103512,-680.0,-0.06%,科技,数码
596324576,音乐制作人Kurt,https://space.bilibili.com/596324576,3549.9,1920242,-678.0,-0.04%,音乐,翻唱
19642758,力元君,https://space.bilibili.com/19642758,3524.9,3862663,-675.0,-0.02%,生活,搞笑
300634025,滔搏电子竞技俱乐部,https://space.bilibili.com/300634025,3473.3,696184,-663.0,-0.10%,游戏,电子竞技
6574487,纳豆奶奶,https://space.bilibili.com/6574487,3538,4184644,-645.0,-0.02%,生活,日常
347667464,老爸评测,https://space.bilibili.com/347667464,3519,3912210,-630.0,-0.02%,生活,日常
473940554,英雄联盟手游,https://space.bilibili.com/473940554,3493.1,2507443,-620.0,-0.02%,游戏,手机游戏
297991412,和微联盟电脑科技,https://space.bilibili.com/297991412,3475.9,648573,-614.0,-0.09%,科技,数码
353539995,拜托了小翔哥,https://space.bilibili.com/353539995,3529.2,4460450,-604.0,-0.01%,美食,美食制作
452941506,卡萨鹏卡萨丁,https://space.bilibili.com/452941506,3339.1,101393,-598.0,-0.59%,游戏,电子竞技
19577966,李子柒,https://space.bilibili.com/19577966,3546.6,7676764,-593.0,-0.01%,美食,田园美食
32365949,聚印象视频,https://space.bilibili.com/32365949,3499,1575114,-591.0,-0.04%,游戏,电子竞技
1712907935,宝石研物语_伊恩之石,https://space.bilibili.com/1712907935,3461.1,549134,-590.0,-0.11%,游戏,手机游戏
