uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
1352762185,小早柚原神,https://space.bilibili.com/1352762185,1620.5,150261.0,153066,98.17%,游戏,手机游戏
63097355,龚明威violin青春版,https://space.bilibili.com/63097355,525.9,44035.0,45011,97.83%,音乐,演奏
2044333698,退钱哥本人,https://space.bilibili.com/2044333698,3489.7,26331.0,891508,2.95%,运动,篮球·足球
1007043700,世界美食official,https://space.bilibili.com/1007043700,3481.9,23740.0,705737,3.36%,美食,美食侦探
2082184203,鲸希希的刷题纸条屋,https://space.bilibili.com/2082184203,1691.1,23332.0,26431,88.28%,知识,校园学习
813059,奶油nanako,https://space.bilibili.com/813059,1394.2,20963.0,23200,90.36%,舞蹈,舞蹈综合
252028114,戴博士实验室,https://space.bilibili.com/252028114,3447.5,20321.0,292806,6.94%,知识,科学科普
1131457022,人民日报,https://space.bilibili.com/1131457022,3530,19423.0,8347167,0.23%,资讯,热点
631795575,遥尧樂,https://space.bilibili.com/631795575,1965,19220.0,23502,81.78%,游戏,手机游戏
473837611,新华社,https://space.bilibili.com/473837611,3537.5,18928.0,9827879,0.19%,资讯,热点
14229967,一数,https://space.bilibili.com/14229967,3525.3,17904.0,6417402,0.28%,知识,校园学习
15076745,彩虹酱哇,https://space.bilibili.com/15076745,3480.2,15909.0,568159,2.80%,生活,搞笑
7953113,麦子小满kitchen,https://space.bilibili.com/7953113,305.1,15530.0,16269,95.46%,美食,美食制作
10052150,小羊biubiu呀,https://space.bilibili.com/10052150,323.3,15394.0,16162,95.25%,汽车,汽车生活
2076896242,坤哥的手工坊,https://space.bilibili.com/2076896242,3372.5,15171.0,126615,11.98%,生活,手工
302197524,johnhuu,https://space.bilibili.com/302197524,3460.7,15054.0,370797,4.06%,知识,校园学习
456664753,央视新闻,https://space.bilibili.com/456664753,3569.8,14966.0,13005540,0.12%,资讯,社会
407275913,假装讲电影,https://space.bilibili.com/407275913,3491.9,14696.0,888627,1.65%,影视,影视杂谈
440850958,林凯kll,https://space.bilibili.com/440850958,281.2,14634.0,15359,95.28%,生活,日常
1730664059,胡子拉碴朴大叔,https://space.bilibili.com/1730664059,657.5,13554.0,14670,92.39%,美食,美食侦探
13337936,冷眸观影,https://space.bilibili.com/13337936,1891.3,13331.0,17281,77.14%,影视,影视杂谈
23630128,HuangFuRen,https://space.bilibili.com/23630128,3514.4,13076.0,3960696,0.33%,知识,校园学习
