视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
无屏风表演《口技》还原文言文 ！！！,BBoxer酋长,2379743,4349725,257070,432120,47590,78014,3506,7222,122340,219238,音乐,演奏
羊村（2）,小潮院长,2309665,2309665,376173,376173,90965,90965,8390,8390,258164,258164,生活,搞笑
挑战成为一只世界杯吉祥物,短腿的帕格尼尼,1845471,2374889,171301,209942,25679,33566,614,970,6797,10147,动物圈,喵星人
《原神》3.3版本PV：「六入尽明，诸相皆无」,原神,1645459,1645459,148469,148469,24030,24030,13003,13003,43874,43874,游戏,手机游戏
吴亦凡一审被判13年，附加驱逐出境,人民日报,1592315,1592315,98987,98987,4361,4361,6945,6945,7338,7338,资讯,热点
这可能是我这辈子距离梅西最近的一次,退钱哥本人,1486046,6211803,230204,749645,17863,50925,994,7271,34169,126485,,
停服的游戏居然卷土重来，男主打算重新成为世界第一！,香橙说漫,1480964,2174030,4616,7156,23286,35652,6,32,1409,1991,国创,国产原创相关
【敖厂长】手机游戏在逐渐占领玩家的电脑桌面？,敖厂长,1282188,2684424,3249,39853,168,3893,-872,13409,303,7413,游戏,单机游戏
噬灵异变，条顿堡，启封！《非匿名指令》公测PV,非匿名指令,1217352,1217352,10201,10201,1205,1205,1601,1601,426,426,游戏,手机游戏
【独家】无限世界 第1集【10月国创】,哔哩哔哩国创,1212418,1212418,19365,19365,50,50,4457,4457,9198,9198,国创,国产动画
怎么突然就起….飞了,李俊每天都在天上飞,1165165,1491449,46846,55064,5079,5582,168,210,417,462,运动,篮球·足球
下次就算泥塘里有黄金～我都不下去摸了！,项真爽,1141406,1567507,103810,159757,8343,10830,308,773,3592,6087,生活,搞笑
世界观CG | 《猫咪公寓2》公测正式定档12月15日！,猫咪公寓2,1101945,1101945,53967,53967,10518,10518,876,876,9470,9470,游戏,手机游戏
疯油精，全款拿下,王七叶-,1087475,3129284,190387,517315,17772,41783,1222,4407,14293,39777,生活,搞笑
店里卖1588的招牌菜，自己在家做，居然只花了。。。,绵羊料理,1066042,2524255,90193,285206,10263,30725,479,2037,62207,177732,美食,美食制作
【重大告知】咔姬鲁，停止活动。,禁漫娘咔姬鲁offical,1054470,1054470,69318,69318,9138,9138,999,999,7217,7217,动画,综合
当 代 热 门 网 络 视 频 现 状,进击的金厂长,1022586,1229309,109981,128034,25462,29101,5218,6542,79459,93479,动画,综合
天哪……原来早就有顶流公开初恋女友先例了！,刘昔昔咯,1019329,1019329,48395,48395,6550,6550,688,688,2622,2622,娱乐,粉丝创作
我要养痞老板啦！,小黑的动物园,1013417,1504335,1504,3046,5855,8290,40,180,137,218,动物圈,爬宠
